policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f,N,heterogeneity,bw
b2croi_v8q,burst,3005,12096,2015,0.373241344733823,0.01822850046201098,0.21505376344086022,0.19851116625310172,5.879239040529363,92.0,0.9715132681976963,86.30272952853598,308.37805800731513,1.2,0.053599999999999995,0.13590205268627742,0.10533333333333311,2.167161167806796,58.99999999999823,3,low,1
oracle,burst,3005,12096,2015,0.37185676050640804,0.012800858362154194,0.13234077750206782,0.1654259718775848,6.172208436724565,92.0,0.9644956976611325,86.30272952853598,50.23163409959108,1.2,0.05,0.13590205268627742,0.0,2.1655009670217518,65.5555555555554,3,low,1
error_trigger,burst,3006,14112,2015,0.37086911510425674,0.05031505358824807,0.5624483043837882,0.9594706368899917,6.320264681555004,104.0,0.9746588343006166,86.60049627791562,3.5817244104005708,1.2,0.17870000000000058,0.12775340263220103,3.274000000000003,0.007326221250598088,54.77777777777882,3,low,1
generic_voi,burst,3006,14112,2015,0.36620729360803916,0.05001733557303974,0.5624483043837882,0.9429280397022334,5.978329197684037,87.0,0.9721860067086695,86.60049627791562,7.320208493481498,1.2,0.17870000000000058,0.12775340263220103,3.274000000000003,0.007326221250598088,58.11111111111279,3,low,1
ar1_growth_voi,burst,3006,14112,2015,0.44797200742138027,0.10588709858156016,1.2737799834574028,1.7535153019023988,3.496112489660877,36.0,0.6832369366363148,86.60049627791562,9.134057106186749,1.2,0.7205000000000593,0.12775340263220103,13.74733333333292,0.03868520179065164,215.99999999999963,3,low,1
cvoi_sf,burst,3006,14112,2015,0.4197972120891698,0.06932842026323603,0.8271298593879239,1.1248966087675765,1.5639371381306866,12.0,0.994210879051644,86.60049627791562,20.693704311414702,0.35968659043869455,0.3305000000000078,0.12775340263220103,5.220666666666729,0.020354482809686346,26.66666666666671,3,low,1
b2croi_v8q,burst,3006,14112,2015,0.39531902434848015,0.02453436589700597,0.24813895781637718,0.47973531844499584,6.191232423490488,104.0,0.9811309493172456,86.60049627791562,280.1283296179165,1.2,0.1193000000000001,0.12775340263220103,1.940666666666667,0.01931330604752146,51.00000000000012,3,low,1
oracle,burst,3006,14112,2015,0.3985262665012174,0.022091573952760013,0.21505376344086022,0.4466501240694789,6.334822167080231,104.0,0.9765111574647616,86.60049627791562,50.12183027254145,1.2,0.1193000000000001,0.12775340263220103,1.940666666666667,0.021202254510369327,54.22222222222327,3,low,1
error_trigger,burst,3007,16128,2015,0.2944735111379569,0.036102742681759094,0.49627791563275436,0.3308519437551696,9.025641025641026,97.0,0.9500622537082548,86.50124069478909,3.416834730728906,1.2,0.05,0.1325645949003618,0.0,0.0,78.44444444444429,3,low,1
generic_voi,burst,3007,16128,2015,0.2941577070688008,0.037094448107559394,0.5128205128205128,0.3308519437551696,8.680397022332507,107.0,0.9502330165207344,86.50124069478909,7.2123303434005,1.2,0.06049999999999776,0.1325645949003618,0.0,0.0,76.9999999999986,3,low,1
ar1_growth_voi,burst,3007,16128,2015,0.39569812130254456,0.07274088749652158,0.9925558312655087,0.7113316790736146,3.471794871794872,34.0,0.6693172468715686,86.50124069478909,9.225631304889474,1.2,0.4954999999999704,0.1325645949003618,8.083999999999767,0.0,223.22222222222072,3,low,1
