variable_set,network,seed,window,policy,baseline,loss_mean_delta,missed_violation_pct_delta,rmse_mean_delta,choice_fairness_delta
humidity_inside,burst,5,0,b2croi_v8q,error_trigger,-0.011120716238128332,-0.16214964095436646,-0.008828099052375471,0.030562549072993495
humidity_inside,burst,5,1,b2croi_v8q,error_trigger,-0.004168536483669214,-0.0463284688441047,0.0036296297380579157,0.022475285674370293
humidity_inside,burst,6,0,b2croi_v8q,error_trigger,-0.012856369701181373,-0.20847810979847117,-0.003041201947546368,0.03951199563987173
humidity_inside,burst,6,1,b2croi_v8q,error_trigger,-0.003474219133657631,-0.0463284688441047,0.002248357939242329,0.022310493791994568
humidity_inside,burst,7,0,b2croi_v8q,error_trigger,-0.012155202223766506,-0.1853138753764188,0.008745105327283287,0.03922189434764267
humidity_inside,burst,7,1,b2croi_v8q,error_trigger,-0.0031250155200370625,-0.0463284688441047,0.008115460930378682,0.025691634089418436
humidity_inside,burst,8,0,b2croi_v8q,error_trigger,-0.016673016446606438,-0.2548065786425759,0.016411434389569046,0.034572548441622386
humidity_inside,burst,8,1,b2croi_v8q,error_trigger,-0.009380972897845724,-0.13898540653231412,0.0023343423846771127,0.01941913518297511
humidity_inside,burst,9,0,b2croi_v8q,error_trigger,-0.015983923094741715,-0.23164234422052352,-0.0020779891952235063,0.03048665785864424
humidity_inside,burst,9,1,b2croi_v8q,error_trigger,-0.002431613620569841,-0.023164234422052343,0.0008284551303058829,0.018130501777961605
humidity_inside,burst,10,0,b2croi_v8q,error_trigger,-0.007294546212647669,-0.0926569376882094,0.004900760590411668,0.03593052593049273
humidity_inside,burst,10,1,b2croi_v8q,error_trigger,-0.004169032198285847,-0.04632846884410469,0.00046902251704705744,0.02198921656498709
humidity_inside,burst,11,0,b2croi_v8q,error_trigger,-0.012506909427843407,-0.16214964095436646,0.00491455016781317,0.03975502459436797
humidity_inside,burst,11,1,b2croi_v8q,error_trigger,-0.0024288589298123693,-0.02316423442205235,0.013094583153644368,0.016335056759271827
humidity_inside,burst,12,0,b2croi_v8q,error_trigger,-0.026751203150335877,-0.39379198517488995,0.010210137354181303,0.028934009187843612
humidity_inside,burst,12,1,b2croi_v8q,error_trigger,-0.001041137827194812,0.0,0.005606449606437802,0.02197356638707937
humidity_inside,burst,13,0,b2croi_v8q,error_trigger,-0.01389722307157748,-0.20847810979847117,0.003941249229782562,0.026393392404631233
humidity_inside,burst,13,1,b2croi_v8q,error_trigger,-0.00799156543896224,-0.11582117211026177,0.00022799912339749318,0.020582675976585474
humidity_inside,burst,14,0,b2croi_v8q,error_trigger,-0.019107600648598563,-0.3011350474866805,0.00802510145635743,0.040927916095585215
humidity_inside,burst,14,1,b2croi_v8q,error_trigger,-0.015289250868658788,-0.20847810979847117,-0.002612719608975078,0.01512864634817701
humidity_inside,burst,15,0,b2croi_v8q,error_trigger,-0.011465777160064859,-0.1853138753764188,-0.0009201670675502704,0.03212804042927664
humidity_inside,burst,15,1,b2croi_v8q,error_trigger,-0.002084529997683576,-0.023164234422052357,-0.0003070489045195468,0.022165437620030426
humidity_inside,burst,16,0,b2croi_v8q,error_trigger,-0.0062545082233032194,-0.0926569376882094,-0.0014990392672502018,0.03768147867062521
humidity_inside,burst,16,1,b2croi_v8q,error_trigger,-0.00486440676395645,-0.06949270326615706,0.00010659753044361953,0.025990149896188086
humidity_inside,burst,17,0,b2croi_v8q,error_trigger,-0.014943992587444983,-0.20847810979847117,-0.01229032696946103,0.03199337711275785
humidity_inside,burst,17,1,b2croi_v8q,error_trigger,-0.005904217743803565,-0.0926569376882094,0.009524420364217356,0.018835341597825628
humidity_inside,burst,18,0,b2croi_v8q,error_trigger,-0.011108283530229322,-0.13898540653231412,0.022195539249628526,0.03648529596523642
humidity_inside,burst,18,1,b2croi_v8q,error_trigger,-0.005209739170720408,-0.0463284688441047,0.007230270015566698,0.019606248397558423
humidity_inside,burst,19,0,b2croi_v8q,error_trigger,-0.010769244382673149,-0.16214964095436646,0.005696824282240054,0.034357252673819616
humidity_inside,burst,19,1,b2croi_v8q,error_trigger,-0.0003464461431549688,0.0,0.004280182076160544,0.036831188040534424
humidity_inside,severe_burst,0,0,b2croi_v8q,error_trigger,-0.01841009682649988,-0.27797081306462823,0.0124689823505999,0.02399854389466305
humidity_inside,severe_burst,0,1,b2croi_v8q,error_trigger,-0.0038156571693305566,-0.06949270326615709,0.01199253880421658,0.0213935972771504
humidity_inside,severe_burst,1,0,b2croi_v8q,error_trigger,-0.0069471364373407465,-0.06949270326615706,0.0011832507014049032,0.03232192686093194
humidity_inside,severe_burst,1,1,b2croi_v8q,error_trigger,-0.0020817150799166085,-0.02316423442205235,0.004899136124640102,0.021199784605511307
humidity_inside,severe_burst,2,0,b2croi_v8q,error_trigger,-0.008650959462589761,-0.11582117211026172,0.05597908191279144,0.05219815698425001
humidity_inside,severe_burst,2,1,b2croi_v8q,error_trigger,-0.007281038684271483,-0.04632846884410469,0.020768322077806767,0.02477654492897019
humidity_inside,severe_burst,3,0,b2croi_v8q,error_trigger,-0.007994817697475095,-0.09265693768820943,-0.010778332399791257,0.03556892425907343
humidity_inside,severe_burst,3,1,b2croi_v8q,error_trigger,-0.0024308705119295807,-0.02316423442205235,0.002637327513617005,0.021987357313783096
humidity_inside,severe_burst,4,0,b2croi_v8q,error_trigger,-0.018750004169562195,-0.30113504748668063,0.013413650478740213,0.04778116439076374
humidity_inside,severe_burst,4,1,b2croi_v8q,error_trigger,-0.001728834839008573,-0.023164234422052343,0.010679242369165731,0.017494179165684964
humidity_inside,severe_burst,5,0,b2croi_v8q,error_trigger,-0.02118057817929117,-0.3242992819087329,0.022709851608213594,0.036376768735724596
humidity_inside,severe_burst,5,1,b2croi_v8q,error_trigger,-0.002069470465601112,0.0,0.034922969709895446,0.023097824579350945
humidity_inside,severe_burst,6,0,b2croi_v8q,error_trigger,-0.008677437109103542,-0.23164234422052354,0.01209477818494098,0.030862900474154187
humidity_inside,severe_burst,6,1,b2croi_v8q,error_trigger,-0.002432163076210331,-0.023164234422052357,0.00015395723998357091,0.02628758668982667
humidity_inside,severe_burst,7,0,b2croi_v8q,error_trigger,-0.009723768357655777,-0.13898540653231412,0.004710019068897897,0.031627443860481774
