N,heterogeneity,bw,network,baseline,n_windows,rmse_mean_delta_mean,rmse_mean_delta_ci95,loss_mean_delta_mean,loss_mean_delta_ci95,missed_violation_pct_delta_mean,missed_violation_pct_delta_ci95,choice_fairness_delta_mean,choice_fairness_delta_ci95
12,high,4,burst,cvoi_sf,4,-0.03200055038252647,0.009650151882948727,-0.0559224659024542,0.012000228974553526,-0.7340777502067825,0.1671232272625889,0.0054838620399135785,0.002290669794925861
12,high,4,burst,h_no_mode,4,0.04303547681246361,0.0036714499394770064,0.0007987808816095798,0.00025806991702387793,1.3877787807814457e-17,0.0033092086406500154,0.009462129861397134,0.005805761092198701
12,high,4,burst,h_no_constraint_bonus,4,0.044140683054587494,0.005115513715764226,0.0008111396124216692,0.0002792820843427946,0.0010339123242349146,0.002026468155500433,0.009385730682934634,0.0059588708459126566
12,high,4,burst,h_no_rmse_cost,4,-0.021626088114572395,0.007156008513718005,-0.00025481388601722617,0.00012183912630698224,1.3877787807814457e-17,0.0033092086406500154,-5.7584447140740513e-05,6.757763850498641e-05
12,high,4,burst,h_no_reliability,4,0.006612255022491145,0.004033730860454817,0.00018953524091891829,0.00025901786854752123,-0.0010339123242349008,0.0050998330207922314,5.6098019882960815e-05,8.181165613574538e-05
12,high,4,burst,oracle,4,0.05363246236961822,0.005335920498576763,0.0008184297411124634,0.00029993901629480073,-0.0010339123242349008,0.0020264681555004055,0.006260926140052525,0.0032375163285711375
12,high,4,severe_burst,error_trigger,4,0.07390106081385371,0.0061665228718925285,-0.049768997972046446,0.020086068210368405,-0.7568238213399504,0.31034308397572946,0.0037637101195581446,0.0030161771292842986
12,high,4,severe_burst,generic_voi,4,0.0747415416805524,0.0057138018474486305,-0.04768807796275958,0.014014766458542938,-0.6978908188585609,0.20467328370554178,0.004344847525903112,0.004018451199078473
12,high,4,severe_burst,cvoi_sf,4,-0.012404757879341352,0.0070895890481515456,-0.058434237623245296,0.009784091715203301,-0.7754342431761787,0.14456735384416003,0.005194652421304541,0.002427396734817576
12,high,4,severe_burst,h_no_mode,4,0.05774669424225391,0.00715159145700827,0.000596366170423232,0.0018131900908767388,-0.021712158808933027,0.02634408602150534,0.008488234328731692,0.006459908463448483
12,high,4,severe_burst,h_no_constraint_bonus,4,0.059837082800763663,0.007681237036999632,0.00019141768764000845,0.0020651608489271,-0.027915632754342418,0.030397022332506178,0.008570905587886313,0.006329904739546346
12,high,4,severe_burst,h_no_rmse_cost,4,-0.02108095728574745,0.01013866986459447,-0.001120294701670672,0.0018495769672776166,-0.016542597187758495,0.0329262102421143,-4.98449994112693e-05,7.946896361766023e-05
12,high,4,severe_burst,h_no_reliability,4,0.02040133135426904,0.009213276041636801,-0.0001640528243820761,0.0016530720753989816,-0.020678246484698085,0.027488351461797997,0.0003046782852511587,0.0003867012207695837
12,high,4,severe_burst,oracle,4,0.07017158345321856,0.007126223138484689,0.0006097005160284243,0.0018900525921140172,-0.022746071133167914,0.028562899119973315,0.005330582010085433,0.003108980477386515
12,low,4,burst,error_trigger,4,0.06277505015305651,0.007054196514710337,-0.02525191657479447,0.008013297603620826,-0.3598014888337469,0.06442341680295031,0.03884039445900342,0.0072673904721683195
12,low,4,burst,generic_voi,4,0.06364315081937627,0.006457346128675674,-0.026320857946541112,0.008497877101783124,-0.3980562448304384,0.10508365855430014,0.03698387838612535,0.007379057148838806
12,low,4,burst,cvoi_sf,4,-0.034640007728440364,0.008116094456430786,-0.03930199153816493,0.009476566403821366,-0.5252274607113316,0.13061945768917985,0.0021516153035268937,0.001665177412773609
