N,heterogeneity,bw,network,policy,n_windows,rmse_mean_mean,rmse_mean_ci95,loss_mean_mean,loss_mean_ci95,missed_violation_pct_mean,missed_violation_pct_ci95,choice_fairness_mean,choice_fairness_ci95
6,low,2,severe_burst,v8_no_rmse_cost,4,0.5126316152010715,0.012967197068070849,0.05196929132833614,0.009026887756238012,0.6596360628618693,0.11956734552380473,0.9997487280017061,8.463908745111143e-05
12,high,4,burst,b2croi_v8,4,0.3099190307567405,0.026587748272912208,0.018853264701364652,0.006345591962693892,0.2264267990074442,0.0929160141909841,0.999748309296657,0.0002490629043952671
12,high,4,burst,cvoi_sf,4,0.34191958113926696,0.018893509397734855,0.07477573060381884,0.014875971681223359,0.9605045492142267,0.20998160940926963,0.9942644472567435,0.0024536857561604014
12,high,4,burst,error_trigger,4,0.24958462328086067,0.019536277500006364,0.06333792717935348,0.017259570922715885,0.8550454921422663,0.22776816952628573,0.9951554848818458,0.004077483445530946
12,high,4,burst,generic_voi,4,0.24963763352191817,0.018479789422030993,0.06357038561528419,0.01624083892998273,0.8550454921422663,0.20777970039589871,0.9956127041145062,0.003043612082480024
12,high,4,burst,oracle,4,0.25628656838712227,0.022403381671958204,0.01803483496025219,0.006276090790288292,0.22746071133167908,0.0945878116511167,0.9934873831566046,0.003423706594184702
12,high,4,burst,v8_no_constraint_bonus,4,0.265778347702153,0.022444958775886075,0.018042125088942984,0.00610765195803871,0.22539288668320928,0.09256915998270407,0.9903625786137225,0.006092969918255657
12,high,4,burst,v8_no_mode,4,0.2668835539442769,0.02307444799978936,0.018054483819755072,0.00616087028306702,0.2264267990074442,0.09426163331477058,0.9902861794352599,0.005951704683004597
12,high,4,burst,v8_no_reliability,4,0.3033067757342493,0.02779104920865501,0.01866372946044573,0.006283459364514315,0.22746071133167908,0.0959670505788502,0.9996922112767741,0.00030680619489982763
12,high,4,burst,v8_no_rmse_cost,4,0.3315451188713128,0.03270112750092675,0.01910807858738188,0.0063347268404476,0.2264267990074442,0.09426163331477058,0.9998058937437977,0.00018357582779131626
12,high,4,severe_burst,b2croi_v8,4,0.46866232556164444,0.010360048473238294,0.042151452375968894,0.008510004428348285,0.49007444168734493,0.12685539584619462,0.9998193665192884,0.00015872220424789486
12,high,4,severe_burst,cvoi_sf,4,0.4810670834409858,0.011420384920778312,0.10058568999921419,0.011204249175615699,1.2655086848635235,0.15124929870032358,0.9946247140979838,0.0025565743468718783
12,high,4,severe_burst,error_trigger,4,0.3947612647477907,0.011897800382646798,0.09192045034801535,0.022966697635646162,1.2468982630272953,0.34549944912989033,0.9960556563997303,0.0030889336183969373
12,high,4,severe_burst,generic_voi,4,0.39392078388109203,0.011405770083886105,0.08983953033872848,0.016488830185297034,1.1879652605459057,0.233396001042086,0.9954745189933853,0.004105479515101358
12,high,4,severe_burst,oracle,4,0.3984907421084259,0.01442452779782782,0.041541751859940475,0.006643474434347888,0.5128205128205128,0.09833418018955772,0.994488784509203,0.0032354619820473855
12,high,4,severe_burst,v8_no_constraint_bonus,4,0.40882524276088084,0.01568909161168993,0.04196003468832889,0.006821898004752147,0.5179900744416873,0.10534386362903868,0.9912484609314021,0.006459563222025728
12,high,4,severe_burst,v8_no_mode,4,0.4109156313193905,0.015665572068808496,0.04155508620554566,0.00670804103959313,0.5117866004962779,0.10110025053433495,0.9913311321905567,0.006589907657856096
