window,t,loop,p_gaussian,p_empirical,true_violation,mu,xt,age
1,5795,1,0.5979905341035838,0.8640198511166253,1.0,21.155228565127246,20.0,21
1,5795,2,0.8743109719590418,0.975682382133995,1.0,20.16091707837672,20.0,0
1,5796,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5796,1,0.5937717309836165,0.8640198511166253,1.0,21.196441136784458,20.0,22
1,5796,2,0.8433067914746236,0.975682382133995,1.0,20.200303523316553,20.0,1
1,5797,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5797,1,0.5898402484097618,0.8640198511166253,1.0,21.237298636481274,21.0,23
1,5797,2,0.8170251642465653,0.975682382133995,1.0,20.239358500793383,20.0,2
1,5798,0,0.6773392783004851,0.8803970223325062,1.0,21.21407716469725,21.0,1
1,5798,1,0.6924909958527431,0.8640198511166253,1.0,21.168012889573806,21.0,0
1,5798,2,0.7944668310097314,0.975682382133995,1.0,20.27808480036284,20.0,3
1,5799,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5799,1,0.6661977703246612,0.8640198511166253,1.0,21.209115316317437,21.0,1
1,5799,2,0.7748497556792197,0.975682382133995,1.0,20.316485188104274,20.0,4
1,5800,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5800,1,0.6455842286154154,0.8640198511166253,1.0,21.249863620067675,21.0,2
1,5800,2,0.7575874191568888,0.975682382133995,1.0,20.354562406818335,20.0,5
1,5801,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5801,1,0.6287544015451382,0.8640198511166253,1.0,21.290260851814555,21.0,3
1,5801,2,0.7422417303935352,0.975682382133995,1.0,20.39231917622288,20.0,6
1,5802,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5802,1,0.6146169115107065,0.8640198511166253,1.0,21.33031003626193,21.0,4
1,5802,2,0.7284826871887995,0.975682382133995,1.0,20.429758193147233,20.0,7
1,5803,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5803,1,0.6024984178599379,0.8640198511166253,1.0,21.370014172053956,21.0,5
1,5803,2,0.7160583363946935,0.975682382133995,1.0,20.466882131724805,20.0,8
1,5804,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5804,1,0.5919600261633909,0.8640198511166253,1.0,21.409376231999598,21.0,6
1,5804,2,0.7047732497985056,0.975682382133995,1.0,20.503693643584107,20.0,9
1,5805,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5805,1,0.5827015566076205,0.8640198511166253,1.0,21.448399163295218,20.0,7
1,5805,2,0.6944732640524311,0.975682382133995,1.0,20.54019535803814,20.0,10
1,5806,0,0.6773392783004851,0.8803970223325062,1.0,21.21407716469725,21.0,1
1,5806,1,0.8614470606499783,0.9741935483870968,1.0,20.202032558541944,21.0,0
1,5806,2,0.6850346692597976,0.975682382133995,1.0,20.576389882272196,20.0,11
1,5807,0,0.6551441642633133,0.8803970223325062,1.0,21.25594723949594,21.0,2
1,5807,1,0.6924909958527431,0.8640198511166253,1.0,21.168012889573806,21.0,0
1,5807,2,0.6763565209470962,0.975682382133995,1.0,20.61227980153008,20.0,12
1,5808,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5808,1,0.6661977703246612,0.8640198511166253,1.0,21.209115316317437,21.0,1
1,5808,2,0.6683551385825455,0.975682382133995,1.0,20.647867679298766,20.0,13
1,5809,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5809,1,0.6455842286154154,0.8640198511166253,1.0,21.249863620067675,21.0,2
1,5809,2,0.6609601362326509,0.975682382133995,1.0,20.68315605749151,20.0,14
1,5810,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5810,1,0.6287544015451382,0.8640198511166253,1.0,21.290260851814555,21.0,3
1,5810,2,0.654111530239911,0.975682382133995,1.0,20.71814745662938,20.0,15
1,5811,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5811,1,0.6146169115107065,0.8640198511166253,1.0,21.33031003626193,21.0,4
1,5811,2,0.6477576076958227,0.975682382133995,1.0,20.752844376021322,20.0,16
1,5812,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5812,1,0.6024984178599379,0.8640198511166253,1.0,21.370014172053956,21.0,5
1,5812,2,0.6418533357347885,0.975682382133995,1.0,20.787249293942644,20.0,17
1,5813,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5813,1,0.5919600261633909,0.8640198511166253,1.0,21.409376231999598,21.0,6
1,5813,2,0.6363591582192784,0.975682382133995,1.0,20.82136466781206,20.0,18
1,5814,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5814,1,0.5827015566076205,0.8640198511166253,1.0,21.448399163295218,21.0,7
1,5814,2,0.6312400723776465,0.975682382133995,1.0,20.855192934367192,20.0,19
1,5815,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5815,1,0.5745083771837082,0.8640198511166253,1.0,21.487085887745252,21.0,8
1,5815,2,0.6264649097784618,0.975682382133995,1.0,20.888736509838633,20.0,20
1,5816,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5816,1,0.5672205741043058,0.8640198511166253,1.0,21.525439301980967,21.0,9
1,5816,2,0.6220057680962481,0.9727047146401985,1.0,20.921997790122518,20.0,21
1,5817,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5817,1,0.5607144928577056,0.8640198511166253,1.0,21.563462277677353,21.0,10
