N,heterogeneity,bw,network,policy,n_windows,rmse_mean_mean,rmse_mean_ci95,loss_mean_mean,loss_mean_ci95,missed_violation_pct_mean,missed_violation_pct_ci95,choice_fairness_mean,choice_fairness_ci95,avg_aoi_mean,avg_aoi_ci95
9,medium,3,severe_burst,oracle,21,0.4100840529150599,0.02408540428358917,0.03748792161658729,0.003143600844278399,0.45794110310239344,0.04366325289655318,0.9864627349257042,0.004165418999599507,12.684994814027071,1.604354661474262
12,high,4,burst,ar1_growth_voi,21,0.3308066462373157,0.011706588253167182,0.07215763115746487,0.013607179455795511,0.9836937256292095,0.1974885825403337,0.6816256054483311,0.01260621855303819,3.3229823939501353,0.11593078247305023
12,high,4,burst,b2croi_hq,21,0.30242686679185243,0.015287250313604015,0.01641739374291216,0.00191545215893773,0.18964906061680256,0.022522671650585854,0.9997755715276406,9.919261075355124e-05,2.6289830241443144,0.07616731576843933
12,high,4,burst,cvoi_sf,21,0.32298436285876403,0.011462706670591122,0.05640768773698243,0.008823328194703321,0.7178305565402341,0.1176057705962053,0.9946218253939585,0.0012523091060455075,1.5088463507818348,0.0194666976605431
12,high,4,burst,error_trigger,21,0.23867579400069897,0.012884093137790766,0.04498737689714411,0.011794114851508171,0.6073496396077042,0.16851016026672067,0.9882806936768851,0.003452313950119265,9.76133561778723,1.4193250033086786
12,high,4,burst,generic_voi,21,0.2387110600107734,0.012806971873106286,0.04450380762094794,0.010825935794674751,0.5955334987593053,0.1531406308191656,0.9882013714747241,0.003586172872092551,7.894665012406947,1.0277022897547252
12,high,4,burst,oracle,21,0.2424926410266991,0.012694373783240176,0.01555714703327001,0.0018132705369678238,0.19142148174406234,0.024221849838004128,0.9867499599212082,0.003964374610825001,9.731874039938557,1.4919575024686416
12,high,4,severe_burst,ar1_growth_voi,21,0.46231859316447294,0.019844860222968195,0.09361682520476872,0.014727311060839047,1.251920122887865,0.2184121702377008,0.7119274998856724,0.013133463725001083,3.874069478908188,0.11375963953342733
12,high,4,severe_burst,b2croi_hq,21,0.44302741265443285,0.022158602413276024,0.03969496363039565,0.004091557904117008,0.4716609555319233,0.052714817267695176,0.9997860866482251,9.876159490921828e-05,3.151870888967663,0.0774599068658189
12,high,4,severe_burst,cvoi_sf,21,0.4535335130452526,0.019374767975477058,0.0806176459783724,0.011077424162719826,1.0029934223482608,0.14813771344741297,0.9952221548166688,0.0011538039420958383,2.053066288550159,0.03426927071426037
