policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f,N,heterogeneity,bw
v8_no_reliability,burst,5003,8064,2015,0.30194528900295065,0.014576956780362948,0.1488833746898263,0.2812241521918941,5.381803143093466,84.0,0.967326198864098,88.43672456575682,434.95786422516954,0.738010086056735,0.05,0.11424865801931708,0.0,0.0,62.77777777777845,3,low,1
oracle,burst,5003,8064,2015,0.30698693240090763,0.012888401184423783,0.13234077750206782,0.23159636062861869,5.4443341604631925,84.0,0.9687109390750372,88.43672456575682,67.91901475433306,0.8079672048993187,0.05,0.11424865801931708,0.0,0.0,62.222222222222825,3,low,1
error_trigger,severe_burst,5000,2016,2015,0.6332485500182249,0.10258093150204575,1.3068651778329199,1.174524400330852,9.071629445822994,110.0,0.9821391207632781,69.33002481389579,5.0568013745487175,1.1553800754934274,0.7804999999999965,0.3005653329965663,14.96933333333316,4.083961571792291,57.88888888888749,3,low,1
generic_voi,severe_burst,5000,2016,2015,0.6361657718236028,0.10116625242804232,1.2903225806451613,1.141439205955335,8.293631100082713,109.0,0.9825754974254802,69.33002481389579,10.144876035406408,1.1026003603521353,0.765499999999995,0.3005653329965663,14.635999999999838,4.07282948909292,57.888888888887976,3,low,1
cvoi_sf,severe_burst,5000,2016,2015,0.7010968294821769,0.10775570390240129,1.240694789081886,1.687344913151365,2.7253928866832093,33.0,0.9944826417285796,69.33002481389579,34.80413034858723,0.05,0.7204999999999864,0.3005653329965663,13.635999999999912,5.550313154096005,31.555555555555628,3,low,1
b2croi_v8,severe_burst,5000,2016,2015,0.6666312939494684,0.0774983631366437,0.9594706368899917,0.8436724565756825,8.30206782464847,110.0,0.9824556691446891,69.33002481389579,410.24766214741925,1.1647313795851981,0.46549999999998537,0.3005653329965663,8.554000000000022,4.813331802304186,55.888888888887415,3,low,1
v8_no_mode,severe_burst,5000,2016,2015,0.6480295464304965,0.062217208714291386,0.7775020678246485,0.5789909015715468,9.104383788254756,110.0,0.9790414750588537,69.33002481389579,430.95464745383924,1.1853584066328917,0.3005000000000099,0.3005653329965663,4.955999999999992,4.147100658093059,59.2222222222207,3,low,1
v8_no_constraint_bonus,severe_burst,5000,2016,2015,0.6488571447560448,0.062482482233318336,0.7775020678246485,0.5955334987593052,9.081885856079404,110.0,0.9798864118765306,69.33002481389579,417.5487455967398,1.1784847926219364,0.3005000000000099,0.3005653329965663,4.955999999999992,4.1815145426793965,59.55555555555401,3,low,1
v8_no_rmse_cost,severe_burst,5000,2016,2015,0.6404528722226459,0.08648119655845808,1.1579818031430935,0.6947890818858561,6.285359801488834,85.0,0.9926620424870038,69.33002481389579,387.7127256530982,1.0050436776987366,0.6454999999999811,0.3005653329965663,12.22066666666656,3.0788282636556317,41.55555555555565,3,low,1
v8_no_reliability,severe_burst,5000,2016,2015,0.6501423267423098,0.06256297048044471,0.76095947063689,0.6617038875103392,8.719106699751862,110.0,0.9790839706069236,69.33002481389579,432.29256836332326,1.177490119690439,0.2855000000000099,0.3005653329965663,4.622666666666659,4.444616849087034,60.88888888888741,3,low,1
oracle,severe_burst,5000,2016,2015,0.6520034482978204,0.06159017046454661,0.76095947063689,0.5955334987593052,9.117287014061208,110.0,0.9797104995257354,69.33002481389579,71.00197805493848,1.1813908585553667,0.2855000000000099,0.3005653329965663,4.622666666666659,4.413857739589958,59.222222222220694,3,low,1
error_trigger,severe_burst,5001,4032,2015,0.5271584482492733,0.06491862915737004,0.7775020678246485,0.9263854425144747,8.476426799007443,108.0,0.9870816166722947,73.20099255583126,5.008772023660004,0.4803243889930214,0.3004999999999633,0.2547096411641343,4.104666666666693,0.0,41.99999999999942,3,low,1
generic_voi,severe_burst,5001,4032,2015,0.5256370952491736,0.0671302832851917,0.8105872622001655,0.9429280397022334,7.943589743589744,93.0,0.988514872794194,73.20099255583126,10.217987832892916,0.499799592842649,0.3304999999999633,0.2547096411641343,4.771333333333086,0.0,41.333333333332845,3,low,1
cvoi_sf,severe_burst,5001,4032,2015,0.5884051064151029,0.08187075122199976,0.9098428453267163,1.455748552522746,2.420347394540943,24.0,0.9956209817210685,73.20099255583126,35.177899042731404,0.4559573640199509,0.4204999999999579,0.2547096411641343,6.741333333333337,0.0,26.888888888889984,3,low,1
b2croi_v8,severe_burst,5001,4032,2015,0.539853617152685,0.04900706571652977,0.5789909015715468,0.6451612903225806,6.777171215880894,93.0,0.9908190813371022,73.20099255583126,422.7484026681123,0.3899115462931496,0.12050000000000963,0.2547096411641343,1.4180000000000657,0.0,39.222222222221625,3,low,1
v8_no_mode,severe_burst,5001,4032,2015,0.5328384040743669,0.04392620666448004,0.5128205128205128,0.5789909015715468,8.644830438378825,108.0,0.9850728488935891,73.20099255583126,448.6181112306733,0.49896515784525225,0.06740000000000253,0.2547096411641343,0.7513333333333725,0.0,45.111111111110326,3,low,1
v8_no_constraint_bonus,severe_burst,5001,4032,2015,0.5327875241933949,0.04392542139773859,0.5128205128205128,0.5789909015715468,8.64449958643507,108.0,0.985184710683542,73.20099255583126,415.7053793158854,0.485797625143933,0.06740000000000253,0.2547096411641343,0.7513333333333725,0.0,45.111111111110326,3,low,1
v8_no_rmse_cost,severe_burst,5001,4032,2015,0.591344804953045,0.0536439126438004,0.5789909015715468,0.8933002481389578,6.515632754342432,96.0,0.9950266130362339,73.20099255583126,398.67931886208675,0.28712460208590046,0.12050000000000963,0.2547096411641343,1.4180000000000657,0.8648081114506181,30.888888888888854,3,low,1
v8_no_reliability,severe_burst,5001,4032,2015,0.5317891537363605,0.0461477660118598,0.5459057071960298,0.5955334987593052,8.452605459057072,100.0,0.9881944084438723,73.20099255583126,413.77326940410484,0.3887132510834895,0.0905000000000095,0.2547096411641343,1.0846666666667182,0.0,43.66666666666595,3,low,1
oracle,severe_burst,5001,4032,2015,0.5304203950022681,0.04388656969442276,0.5128205128205128,0.5789909015715468,8.655748552522747,108.0,0.9851789735634836,73.20099255583126,68.63832786891876,0.4834097215341271,0.06740000000000253,0.2547096411641343,0.7513333333333725,0.0,43.88888888888825,3,low,1
error_trigger,severe_burst,5002,6048,2015,0.5590536278085395,0.07623116327136278,1.0090984284532674,0.7113316790736146,8.758312655086849,100.0,0.9857960967065795,73.10173697270471,4.746085645228846,0.3540151339137924,0.5105000000000143,0.25929954858839466,8.579333333333215,0.7438504250742954,42.11111111111096,3,low,1
generic_voi,severe_burst,5002,6048,2015,0.5505092726283278,0.0770891775587017,1.0256410256410255,0.7113316790736146,8.036889991728701,90.0,0.9894254315520032,73.10173697270471,10.644880015976153,0.28909783404579015,0.5254999999999941,0.25929954858839466,8.912666666666691,0.4420472044792547,36.77777777777779,3,low,1
cvoi_sf,severe_burst,5002,6048,2015,0.6128193734109114,0.10306942492754997,1.2737799834574028,1.3730355665839538,2.4456575682382136,24.0,0.99754509403307,73.10173697270471,35.483488598122044,0.18927461379140706,0.750500000000001,0.25929954858839466,13.912666666666505,2.0311886874436094,23.222222222223035,3,low,1
b2croi_v8,severe_burst,5002,6048,2015,0.556387676418833,0.05485839423699366,0.6782464846980976,0.6120760959470637,8.389578163771713,98.0,0.9896772149198979,73.10173697270471,411.79492683716063,0.24382530799421068,0.21049999999999852,0.25929954858839466,3.8279999999998897,0.6303720618545003,37.22222222222226,3,low,1
v8_no_mode,severe_burst,5002,6048,2015,0.5615480091375274,0.040812484280937755,0.4466501240694789,0.5955334987593052,9.525062034739454,100.0,0.9851560257514249,73.10173697270471,424.829104490042,0.30321656770413485,0.05510000000000025,0.25929954858839466,0.49466666666670545,0.8332939539672776,43.1111111111106,3,low,1
v8_no_constraint_bonus,severe_burst,5002,6048,2015,0.5615677706818593,0.040812540749445986,0.4466501240694789,0.5955334987593052,8.990901571546733,100.0,0.9846629062388519,73.10173697270471,416.9129056765908,0.31328811101483045,0.05510000000000025,0.25929954858839466,0.49466666666670545,0.8332939539672776,43.77777777777724,3,low,1
v8_no_rmse_cost,severe_burst,5002,6048,2015,0.5711139924566859,0.05780758779267851,0.727874276261373,0.5955334987593052,7.599172870140612,99.0,0.9906102186760667,73.10173697270471,405.66994136698526,0.1643672294689902,0.2554999999999874,0.25929954858839466,3.8279999999998897,0.9890435818156433,37.00000000000011,3,low,1
v8_no_reliability,severe_burst,5002,6048,2015,0.5608414060041572,0.04105125879223966,0.4466501240694789,0.6120760959470637,8.623490488006617,98.0,0.9884426780053748,73.10173697270471,416.0361066657042,0.2880417659022364,0.05510000000000025,0.25929954858839466,0.49466666666670545,0.819938211410829,38.8888888888888,3,low,1
oracle,severe_burst,5002,6048,2015,0.5617398445051833,0.040815161396650076,0.4466501240694789,0.5955334987593052,8.990074441687344,100.0,0.98452824433182,73.10173697270471,70.51529068726279,0.3190480321330272,0.05510000000000025,0.25929954858839466,0.49466666666670545,0.8464782279560763,44.11111111111058,3,low,1
error_trigger,severe_burst,5003,8064,2015,0.6376960688322995,0.12081475262978986,1.7038875103391231,0.8105872622001655,6.5119933829611245,91.0,0.9792568238479719,72.10918114143921,4.5298320523211295,0.5974046164508383,0.9565000000000148,0.27023126451640317,22.507333333333,1.057619115245587,52.44444444444408,3,low,1
generic_voi,severe_burst,5003,8064,2015,0.6400839662538523,0.12185590812651442,1.7204301075268817,0.8105872622001655,6.302894954507858,83.0,0.9759661228721331,72.10918114143921,10.066761210024653,0.6857179349342488,0.9565000000000148,0.27023126451640317,22.840666666666333,1.1555657324252826,54.44444444444451,3,low,1
cvoi_sf,severe_burst,5003,8064,2015,0.6986465056340987,0.1448147180125734,1.9520264681555006,1.3234077750206783,2.7022332506203472,37.0,0.9999404009440294,72.10918114143921,33.84361375774957,0.05,0.958000000000013,0.27023126451640317,27.507333333332976,3.866143598721318,14.88888888888861,3,low,1
b2croi_v8,severe_burst,5003,8064,2015,0.6484739353353196,0.08801349887459045,1.1910669975186103,0.6617038875103392,5.960628618693135,81.0,0.9839556265450701,72.10918114143921,377.0412107358777,0.40066739676523216,0.6305000000000257,0.27023126451640317,12.17399999999977,1.463111089798549,44.888888888888054,3,low,1
v8_no_mode,severe_burst,5003,8064,2015,0.6592772811089135,0.0800439901906767,1.0752688172043012,0.5789909015715468,6.509346567411083,91.0,0.9788177260334935,72.10918114143921,384.03417734849836,0.6257777324211704,0.5255000000000256,0.27023126451640317,9.840666666666433,1.9019746140331366,52.11111111111071,3,low,1
v8_no_constraint_bonus,severe_burst,5003,8064,2015,0.6592306860167614,0.08004277139222726,1.0752688172043012,0.5789909015715468,6.508519437551696,91.0,0.9801390416750855,72.10918114143921,381.35789641555834,0.5816213156802177,0.5255000000000256,0.27023126451640317,9.840666666666433,1.9019746140331366,50.7777777777772,3,low,1
v8_no_rmse_cost,severe_burst,5003,8064,2015,0.672654469248089,0.09719135517777228,1.3234077750206783,0.7113316790736146,5.558643507030604,81.0,0.9897264289358519,72.10918114143921,377.74416605338786,0.3371793090217861,0.7355000000000409,0.27023126451640317,14.84066666666644,2.4553240039902824,36.999999999999396,3,low,1
v8_no_reliability,severe_burst,5003,8064,2015,0.6473614976679453,0.08228187981586893,1.108354011579818,0.6120760959470637,6.290488006617039,83.0,0.9814183803674991,72.10918114143921,381.87627746462454,0.4400856107251675,0.5555000000000256,0.27023126451640317,10.5073333333331,1.4138986864746586,49.11111111111052,3,low,1
oracle,severe_burst,5003,8064,2015,0.6593678478450686,0.08004583209549163,1.0752688172043012,0.5789909015715468,6.520926385442515,91.0,0.97945809056301,72.10918114143921,70.78258610138711,0.595314623086382,0.5255000000000256,0.27023126451640317,9.840666666666433,1.90824423863475,52.11111111111071,3,low,1
error_trigger,burst,5000,2016,2015,0.37677095469982586,0.052903432724579834,0.6947890818858561,0.5955334987593052,5.178163771712159,81.0,0.9990369423880433,83.87096774193549,5.0153606975677585,0.18182542335459648,0.2380999999999987,0.16039075376240935,4.771333333333284,0.0,31.333333333333286,3,high,1
generic_voi,burst,5000,2016,2015,0.3721184970708884,0.054839684428544935,0.7113316790736146,0.6617038875103392,4.655748552522746,81.0,0.9987125684947259,83.87096774193549,10.302409595548738,0.22115332262603365,0.26089999999999497,0.16039075376240935,5.151333333333283,0.0,33.222222222222264,3,high,1
cvoi_sf,burst,5000,2016,2015,0.4395809625870559,0.060493731820464934,0.727874276261373,0.9098428453267163,1.6845326716294458,15.0,0.9978083837309232,83.87096774193549,33.875267199303025,0.05,0.25549999999999984,0.16039075376240935,4.2699999999999525,0.0,16.888888888888587,3,high,1
b2croi_v8,burst,5000,2016,2015,0.3734771617997268,0.023372134709033886,0.2977667493796526,0.21505376344086022,4.361124896608768,58.0,0.9987155163995497,83.87096774193549,358.40888466066673,0.1668165344893338,0.05690000000000286,0.16039075376240935,0.5379999999999963,0.0,30.000000000000068,3,high,1
v8_no_mode,burst,5000,2016,2015,0.374113388965732,0.02334787759435692,0.2977667493796526,0.21505376344086022,5.156658395368073,81.0,0.9994766577284927,83.87096774193549,366.5775045054611,0.18676820650109188,0.05690000000000286,0.16039075376240935,0.5379999999999963,0.0,29.111111111111374,3,high,1
